name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Phoenix Spot,['Solana'],Dexs,361953.0,764144.0,40407340.0,0.0,7057.46,-85.11
Stand,['Polygon'],Interface,360330.0,3455042.0,17453949.0,-11.39,-38.98,-68.29
Mento V2,['Celo'],Algo-Stables,354756.0,7840948.0,24660949.0,-9.36,-54.21,21.2
Alphix,"['Base', 'Arbitrum']",Dexs,352117.0,1387872.0,5692325.0,7.31,106.63,20.28
Otomate,['Ink'],Interface,346402.0,2057224.0,8115528.0,2.67,-26.74,-31.6
PancakeSwap Prediction,['BSC'],Prediction Market,326662.0,2374365.0,11288744.0,3.15,-14.55,-4.21
Alien Base V2,['Base'],Dexs,319946.0,2758280.0,10755704.0,2.15,-15.81,-53.73
Frax Swap,"['Moonriver', 'Harmony', 'Moonbeam', 'BSC', 'Boba', 'Ethereum', 'Aurora', 'Avalanche', 'Polygon', 'Arbitrum', 'Fantom', 'Fraxtal', 'OP Mainnet']",Dexs,317705.0,1252611.0,7051857.0,315.76,67.94,6.93
BrownFi,"['Berachain', 'Base', 'BSC', 'Arbitrum', 'Hyperliquid L1', 'Linea', 'Monad']",Dexs,313103.0,1682216.0,8468153.0,38.95,-21.57,-45.18
Joe DEX,"['Avalanche', 'BSC', 'Arbitrum']",Dexs,301682.0,1799087.0,7714480.0,42.32,-6.67,-35.04
9mm V3,"['PulseChain', 'Base', 'Sonic']",Dexs,298620.0,2071027.0,10125255.0,17.77,-11.61,16.48
Futarchy AMM,['Solana'],Dexs,298189.0,4185845.0,14180425.0,-37.73,70.78,7.0
Gnosis Pay,['Gnosis'],Crypto Card Issuer,286822.0,2158939.0,9938685.0,-5.85,-3.4,-8.37
Cypher Card,"['OP Mainnet', 'Base', 'Avalanche', 'Ethereum', 'Polygon', 'Arbitrum']",Crypto Card Issuer,285783.0,1901076.0,8284569.0,0.21,-7.24,25.87
Spectra V2,"['Base', 'Arbitrum', 'Ethereum', 'OP Mainnet', 'Sonic', 'Hemi', 'Avalanche', 'BSC', 'Hyperliquid L1', 'Katana', 'Flare', 'Monad']",Yield,284212.0,6633537.0,32200952.0,88.83,-57.7,62.35
SakuraSwap CLMM,"['Abstract', 'Zero Network', 'Shape', 'Redstone', 'Ink']",Dexs,279266.0,1555302.0,9157414.0,-3.5,,-21.81
Land Bid,['Base'],Gamified Mining,278948.0,770372.0,2647362.0,28.61,,
LN Exchange Spot,['Bitcoin'],Dexs,276871.0,1798549.0,10696102.0,-14.01,-7.58,-52.65
PulseX StableSwap,['PulseChain'],Dexs,276799.0,1493195.0,1759463.0,26.25,,19.85
Swapr V3,['Gnosis'],Dexs,262988.0,5545322.0,13731067.0,3.25,-27.49,-23.14
PancakeSwap StableSwap,"['BSC', 'Arbitrum', 'Ethereum']",Dexs,258013.0,5102764.0,11813606.0,-75.52,0.67,12.57
Blur Bids,['Ethereum'],NFT Marketplace,256240.0,2857119.0,10976252.0,-18.37,-37.92,
Velodrome V2,"['OP Mainnet', 'Mode', 'Lisk', 'Fraxtal', 'Ink', 'Soneium', 'Unichain', 'Swellchain', 'BOB', 'Celo']",Dexs,253895.0,2545912.0,10345828.0,-19.1,-33.33,-54.74
Raindex,"['Polygon', 'Ethereum', 'Arbitrum', 'Base', 'BSC', 'Flare', 'Linea']",Dexs,252436.0,1329235.0,4107593.0,100.49,54.16,147.48
Upheaval V3,['Hyperliquid L1'],Dexs,250902.0,1651810.0,2267280.0,16.91,233.02,567.84
Polytrader,['Polygon'],Interface,244661.0,2530437.0,7767398.0,-31.09,43.22,89.89
SectorOne DLMM,['MegaETH'],Dexs,239114.0,516145.0,2351462.0,95.18,268.97,5706.56
Katana DEX,['Ronin'],Dexs,234327.0,6757643.0,19127290.0,-52.08,-22.38,-23.38
Kyo Finance,['Soneium'],Dexs,229954.0,1176123.0,5227014.0,14.63,31.8,13.87
Beezie,"['Flow', 'Base']",Physical TCG,224955.0,2659312.0,5215498.0,-37.56,-40.11,
SaucerSwap V1,['Hedera'],Dexs,223347.0,1294101.0,5940885.0,-4.62,-27.71,-54.68
Lunarbase,['Base'],Dexs,221045.0,3150184.0,37728114.0,-46.18,-81.85,-66.03
Ellipsis Finance,['BSC'],Dexs,216683.0,464613.0,1203975.0,768.4,644.67,117025.95
Metropolis DLMM,['Sonic'],Dexs,216407.0,808694.0,5802508.0,166.53,21.33,5.25
Tinyman,['Algorand'],Dexs,214975.0,1835767.0,9445463.0,-34.41,11.1,-38.75
MagicSea LB,['IOTA EVM'],Dexs,214298.0,1083746.0,5177140.0,6.8,-23.48,18.3
Quickswap Dex,"['Polygon', 'Base']",Dexs,212072.0,66919821.0,987195403.0,-3.54,-19.05,-99.56
SUNSwap V1,['Tron'],Dexs,210749.0,1493323.0,8138934.0,22.22,7.78,-28.17
Maverick V2,"['BSC', 'Base', 'ZKsync Era', 'Ethereum', 'Arbitrum', 'Scroll']",Dexs,206710.0,4375125.0,22182654.0,34.8,-91.45,-86.08
Overtime,"['Base', 'OP Mainnet', 'Arbitrum', 'Polygon']",Prediction Market,203388.0,1608485.0,7415063.0,1.33,11.33,-32.93
FlowX V3,['Sui'],Dexs,198579.0,7452438.0,22647537.0,-78.77,-82.93,-49.27
Polygun,['Polygon'],Interface,192156.0,1723791.0,10471616.0,-10.7,-35.0,-58.38
Lynex V2,['Linea'],Dexs,191438.0,1025938.0,4252190.0,49.02,48.02,-15.64
Astroport,"['Injective', 'Neutron', 'Terra2', 'Sei', 'Osmosis']",Dexs,190602.0,1374062.0,12152056.0,94.56,53.19,-26.71
SwapX Algebra,['Sonic'],Dexs,186145.0,856729.0,5280162.0,110.3,6.67,-4.91
FluxFlow V3,['Fluent'],Dexs,182967.0,569503.0,1425139.0,139.07,320.18,
Honeypop DEX,['Scroll'],Dexs,182522.0,1535467.0,9932321.0,14.89,-55.37,-65.82
WingRiders,['Cardano'],Dexs,181184.0,1096481.0,5512038.0,49.33,-66.89,70.01
Katana DEX V3,['Ronin'],Dexs,176094.0,4304306.0,10875769.0,-52.68,0.35,18.89
THENA FUSION,['BSC'],Dexs,175642.0,1352648.0,1649163.0,-12.35,,-40.95
Dano Finance,['Cardano'],Dexs,174046.0,1033566.0,3864997.0,12.78,79.16,598.11
SyncSwap,"['ZKsync Era', 'Linea', 'Scroll', 'Sophon']",Dexs,169568.0,1250780.0,6671678.0,-1.03,-6.92,-53.98
Holyheld Card,"['Gnosis', 'Arbitrum', 'OP Mainnet', 'Polygon', 'Ethereum', 'Base', 'BSC', 'Avalanche', 'ZKsync Era']",Crypto Card Issuer,165359.0,1149035.0,4480671.0,-15.81,-29.14,-17.4
Sport.fun,['Base'],Prediction Market,164201.0,677784.0,2503331.0,316.14,266.31,36.89
xExchange,['MultiversX'],Dexs,162642.0,1053039.0,4641632.0,-3.99,-5.68,19.08
Swaap Maker V2,"['Ethereum', 'Polygon', 'Arbitrum', 'Mode', 'Base', 'OP Mainnet', 'BSC', 'Scroll', 'Linea', 'Mantle']",Dexs,157854.0,2446009.0,7893611.0,-78.13,26.36,-54.15
Clober V2,"['Base', 'ZKsync Era', 'Monad']",Dexs,152374.0,4295056.0,35300184.0,-30.23,-90.28,-58.46
XFlows,['Wanchain'],Dexs,149075.0,913001.0,2965500.0,59.9,12.43,14.48
Trisolaris,['Aurora'],Dexs,146468.0,233905.0,734542.0,322.85,351.32,840.1
MetaMask Card,"['Linea', 'Solana', 'Base']",Crypto Card Issuer,146215.0,845320.0,4858957.0,22.42,31.51,-12.04
Spritz Card,"['Avalanche', 'Polygon', 'Base', 'Arbitrum', 'OP Mainnet', 'Ethereum', 'BSC']",Crypto Card Issuer,144574.0,1076639.0,4770333.0,80.33,35.96,-54.66
Bancor V2.1,['Ethereum'],Dexs,143255.0,1474970.0,4117534.0,-35.09,-53.24,10.96
Aborean AMM,['Abstract'],Dexs,142196.0,1240335.0,6056573.0,-26.39,23.41,-67.22
Bitget Wallet Card,['Arbitrum'],Crypto Card Issuer,141843.0,1071119.0,4443673.0,-17.8,2.91,-7.98
FanX Protocol,['Chiliz'],Dexs,141312.0,1319551.0,5939404.0,0.28,60.5,-64.29
Hypertrade V3,['Hyperliquid L1'],Dexs,136282.0,489632.0,1313960.0,85.45,150.31,335.53
Camelot V2,"['Arbitrum', 'Gravity by Galxe', 'Rari', 'ReyaChain', 'Gnosis', 'Sanko', 'ApeChain']",Dexs,134921.0,987720.0,6642421.0,-16.21,-28.9,-22.48
Jupiter Prediction,['Solana'],Interface,129078.0,870361.0,4602432.0,-4.83,54.84,-12.39
KrokoSwap V3,['Kasplex'],Dexs,128413.0,710145.0,1107700.0,-6.12,,
FlowSwap V3,['Flow'],Dexs,126459.0,1796568.0,9272914.0,-21.74,-60.39,-70.67
Fulcrom AMM,"['Cronos', 'ZKsync Era', 'Cronos zkEVM']",Dexs,123270.0,1985405.0,13294527.0,-64.34,-59.9,-54.0
ZORA Coins,['Base'],Launchpad,116939.0,623950.0,2293153.0,-7.91,-3.17,419.54
Bleap Card,['Arbitrum'],Crypto Card Issuer,114128.0,643198.0,2950118.0,12.86,43.38,38.11
Thruster V3,['Blast'],Dexs,111349.0,805338.0,2653995.0,1037.72,111.99,-13.37
Pact,['Algorand'],Dexs,108614.0,459234.0,2664609.0,18.96,100.74,45.25
Sanctum Infinity,['Solana'],Dexs,105403.0,1827314.0,4726827.0,1605.83,9.88,119.74
PolyTraderPro,['Polygon'],Interface,103334.0,1992099.0,20015147.0,-37.47,-45.42,-84.46
Flamingo Finance,['NEO'],Dexs,102734.0,372011.0,1023751.0,443.42,-28.08,1650.15
Fluid DEX Lite,['Ethereum'],Dexs,101558.0,540783.0,3069611.0,-8.9,1.98,-36.2
Bullpen Prediction Markets,['Polygon'],Interface,97915.0,706143.0,8439358.0,46.37,-60.86,-47.99
Beets DEX,"['Fantom', 'OP Mainnet', 'Sonic']",Dexs,94926.0,652499.0,2978162.0,95.71,12.33,-9.23
Preddy,['Polygon'],Interface,93962.0,784630.0,4062561.0,82.37,-43.71,-53.21
Rosetta,"['Hyperliquid L1', 'Base']",Yield Aggregator,92956.0,259981.0,10424996.0,1296.78,-85.95,-97.89
2THICK,['Sonic'],Dexs,85531.0,416553.0,3066491.0,91.75,-36.3,1.44
WAGMI,"['ZKsync Era', 'Fantom', 'Kava', 'Ethereum', 'Metis', 'Sonic', 'Base']",Dexs,81273.0,255136.0,1773246.0,281.96,140.66,199.81
