eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,21Shares,,,-1704.5885986652772,-6743608.184609637,2025-10-26 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-7085753.208133731,2025-10-27 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-7026382.387242219,2025-10-28 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6791302.573600291,2025-10-29 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6659435.599607545,2025-10-30 00:00:00,0.0,0.0
0,21Shares,,,-2553.3230472029713,-9714474.998310313,2025-10-31 00:00:00,-848.734448537694,-3229129.032284452
0,21Shares,,,-2553.3230472009714,-9831034.195407428,2025-11-01 00:00:00,2.000000848e-09,7.70058326504592e-06
0,21Shares,,,-2553.3230472009714,-9898697.256158253,2025-11-02 00:00:00,0.0,0.0
0,21Shares,,,-2553.3230472009714,-9981118.524121901,2025-11-03 00:00:00,0.0,0.0
0,21Shares,,,-2553.3230472009714,-9200210.203365956,2025-11-04 00:00:00,0.0,0.0
0,21Shares,,,-2553.3230472009714,-8404262.809861997,2025-11-05 00:00:00,0.0,0.0
0,21Shares,,,-2403.5449086809713,-8231636.567801503,2025-11-06 00:00:00,149.77813851999994,512958.6710219106
0,21Shares,,,-2403.5449086809713,-7965299.756470566,2025-11-07 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-8261272.275831241,2025-11-08 00:00:00,2.0199999999999998e-07,0.0006942982399999999
0,21Shares,,,-2403.544908478971,-8181138.088582553,2025-11-09 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-8616948.851387959,2025-11-10 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-8577987.388421515,2025-11-11 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-8217431.616700585,2025-11-12 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-8207553.0471267365,2025-11-13 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-7774169.864678893,2025-11-14 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-7476899.430398215,2025-11-15 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-7617578.913891488,2025-11-16 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-7445773.523833411,2025-11-17 00:00:00,0.0,0.0
0,21Shares,,,-2403.544908478971,-7275939.040600287,2025-11-18 00:00:00,0.0,0.0
0,Bitwise,,,-10676.529133769898,-45924129.18128917,2025-09-05 00:00:00,-10676.529133769898,-45924129.18128917
0,Bitwise,,,-10676.529133769898,-46009114.35319398,2025-09-06 00:00:00,0.0,0.0
0,Bitwise,,,-10676.529133769898,-45654760.35124417,2025-09-07 00:00:00,0.0,0.0
0,Bitwise,,,-10676.529133769898,-45998544.58935156,2025-09-08 00:00:00,0.0,0.0
0,Bitwise,,,-10676.529126315198,-45996516.016699865,2025-09-09 00:00:00,7.45470065099973e-06,0.03211626679763052
0,Bitwise,,,-10676.529126315198,-46021285.564272925,2025-09-10 00:00:00,0.0,0.0
0,Bitwise,,,-8741.930136133196,-38030980.28353522,2025-09-11 00:00:00,1934.5989901820003,8416298.792877676
0,Bitwise,,,-4299.541840319693,-19177160.47954112,2025-09-12 00:00:00,4442.388295813504,19814295.668051053
0,Bitwise,,,-4299.541834215693,-20257893.287764028,2025-09-13 00:00:00,6.1039999999999995e-06,0.02875985056
0,Bitwise,,,-4299.541834215693,-20060587.31299187,2025-09-14 00:00:00,0.0,0.0
0,Bitwise,,,-717.0248417146922,-3304573.8987557534,2025-09-15 00:00:00,3582.5169925010005,16510853.538849134
0,Bitwise,,,-717.0248367016923,-3246021.62748713,2025-09-16 00:00:00,5.012999999999999e-06,0.022694201909999996
0,Bitwise,,,787.6170560867365,3548057.314259531,2025-09-17 00:00:00,1504.6418927884288,6778110.798633315
